Ativo,Data,Intervalo,Volume
BTCUSDT,2025-04-22 01:00:00,1h,1336.03829
BTCUSDT,2025-04-22 02:00:00,1h,2420.38751
BTCUSDT,2025-04-22 03:00:00,1h,1117.66736
BTCUSDT,2025-04-22 04:00:00,1h,1074.60544
BTCUSDT,2025-04-22 05:00:00,1h,677.78988
BTCUSDT,2025-04-22 06:00:00,1h,539.11056
BTCUSDT,2025-04-22 07:00:00,1h,556.23716
BTCUSDT,2025-04-22 08:00:00,1h,948.01204
BTCUSDT,2025-04-22 09:00:00,1h,667.61336
BTCUSDT,2025-04-22 10:00:00,1h,616.35026
BTCUSDT,2025-04-22 11:00:00,1h,602.16176
BTCUSDT,2025-04-22 12:00:00,1h,773.70793
BTCUSDT,2025-04-22 13:00:00,1h,1583.02158
BTCUSDT,2025-04-22 14:00:00,1h,5026.97136
BTCUSDT,2025-04-22 15:00:00,1h,3885.34174
BTCUSDT,2025-04-22 16:00:00,1h,4856.8485
BTCUSDT,2025-04-22 17:00:00,1h,1828.95989
BTCUSDT,2025-04-22 18:00:00,1h,1899.09572
BTCUSDT,2025-04-22 19:00:00,1h,1300.89104
BTCUSDT,2025-04-22 20:00:00,1h,1351.76469
BTCUSDT,2025-04-22 21:00:00,1h,806.20698
BTCUSDT,2025-04-22 22:00:00,1h,6118.16636
BTCUSDT,2025-04-22 23:00:00,1h,1634.66903
BTCUSDT,2025-04-23 00:00:00,1h,2251.12861
BTCUSDT,2025-04-23 01:00:00,1h,2091.24557
BTCUSDT,2025-04-23 02:00:00,1h,1413.92377
BTCUSDT,2025-04-23 03:00:00,1h,1092.0426
BTCUSDT,2025-04-23 04:00:00,1h,618.12497
BTCUSDT,2025-04-23 05:00:00,1h,901.69092
BTCUSDT,2025-04-23 06:00:00,1h,860.57425
BTCUSDT,2025-04-23 07:00:00,1h,786.54566
BTCUSDT,2025-04-23 08:00:00,1h,1204.3315
BTCUSDT,2025-04-23 09:00:00,1h,1366.71825
BTCUSDT,2025-04-23 10:00:00,1h,800.21181
BTCUSDT,2025-04-23 11:00:00,1h,1429.75497
BTCUSDT,2025-04-23 12:00:00,1h,713.03617
BTCUSDT,2025-04-23 13:00:00,1h,715.78459
BTCUSDT,2025-04-23 14:00:00,1h,3287.20024
BTCUSDT,2025-04-23 15:00:00,1h,1791.42787
BTCUSDT,2025-04-23 16:00:00,1h,2750.4464
BTCUSDT,2025-04-23 17:00:00,1h,1369.64971
BTCUSDT,2025-04-23 18:00:00,1h,1044.80234
BTCUSDT,2025-04-23 19:00:00,1h,696.68663
BTCUSDT,2025-04-23 20:00:00,1h,907.78449
BTCUSDT,2025-04-23 21:00:00,1h,463.61912
BTCUSDT,2025-04-23 22:00:00,1h,399.0868
BTCUSDT,2025-04-23 23:00:00,1h,365.26246
BTCUSDT,2025-04-24 00:00:00,1h,334.21699
BTCUSDT,2025-04-24 01:00:00,1h,891.30897
BTCUSDT,2025-04-24 02:00:00,1h,619.94878
BTCUSDT,2025-04-24 03:00:00,1h,473.23812
BTCUSDT,2025-04-24 04:00:00,1h,783.62779
BTCUSDT,2025-04-24 05:00:00,1h,1107.29168
BTCUSDT,2025-04-24 06:00:00,1h,422.05332
BTCUSDT,2025-04-24 07:00:00,1h,820.57307
BTCUSDT,2025-04-24 08:00:00,1h,1079.93964
BTCUSDT,2025-04-24 09:00:00,1h,1831.96132
BTCUSDT,2025-04-24 10:00:00,1h,995.55388
BTCUSDT,2025-04-24 11:00:00,1h,612.2703
BTCUSDT,2025-04-24 12:00:00,1h,500.80279
BTCUSDT,2025-04-24 13:00:00,1h,679.77325
BTCUSDT,2025-04-24 14:00:00,1h,1240.39922
BTCUSDT,2025-04-24 15:00:00,1h,1571.34785
BTCUSDT,2025-04-24 16:00:00,1h,955.7157
BTCUSDT,2025-04-24 17:00:00,1h,871.05096
BTCUSDT,2025-04-24 18:00:00,1h,714.13836
BTCUSDT,2025-04-24 19:00:00,1h,426.75122
BTCUSDT,2025-04-24 20:00:00,1h,492.11945
BTCUSDT,2025-04-24 21:00:00,1h,646.10226
BTCUSDT,2025-04-24 22:00:00,1h,332.02854
BTCUSDT,2025-04-24 23:00:00,1h,355.09613
BTCUSDT,2025-04-25 00:00:00,1h,1073.96811
BTCUSDT,2025-04-25 01:00:00,1h,1400.33571
BTCUSDT,2025-04-25 02:00:00,1h,1317.12816
BTCUSDT,2025-04-25 03:00:00,1h,1069.14984
BTCUSDT,2025-04-25 04:00:00,1h,705.52433
BTCUSDT,2025-04-25 05:00:00,1h,668.38248
BTCUSDT,2025-04-25 06:00:00,1h,582.72597
BTCUSDT,2025-04-25 07:00:00,1h,522.40754
BTCUSDT,2025-04-25 08:00:00,1h,1690.35511
BTCUSDT,2025-04-25 09:00:00,1h,743.12893
BTCUSDT,2025-04-25 10:00:00,1h,500.01367
BTCUSDT,2025-04-25 11:00:00,1h,617.16074
BTCUSDT,2025-04-25 12:00:00,1h,1638.14538
BTCUSDT,2025-04-25 13:00:00,1h,2501.32388
BTCUSDT,2025-04-25 14:00:00,1h,1246.62972
BTCUSDT,2025-04-25 15:00:00,1h,5315.61891
BTCUSDT,2025-04-25 16:00:00,1h,1808.96782
BTCUSDT,2025-04-25 17:00:00,1h,827.35336
BTCUSDT,2025-04-25 18:00:00,1h,1213.55237
BTCUSDT,2025-04-25 19:00:00,1h,741.12878
BTCUSDT,2025-04-25 20:00:00,1h,754.0757
BTCUSDT,2025-04-25 21:00:00,1h,537.75825
BTCUSDT,2025-04-25 22:00:00,1h,426.67149
BTCUSDT,2025-04-25 23:00:00,1h,250.01053
BTCUSDT,2025-04-26 00:00:00,1h,423.11781
BTCUSDT,2025-04-26 01:00:00,1h,1397.22066
BTCUSDT,2025-04-26 02:00:00,1h,507.35698
BTCUSDT,2025-04-26 03:00:00,1h,426.17384
BTCUSDT,2025-04-26 04:00:00,1h,211.9504
BTCUSDT,2025-04-26 05:00:00,1h,497.93432
BTCUSDT,2025-04-26 06:00:00,1h,325.1239
BTCUSDT,2025-04-26 07:00:00,1h,283.09837
BTCUSDT,2025-04-26 08:00:00,1h,303.9016
BTCUSDT,2025-04-26 09:00:00,1h,506.57636
BTCUSDT,2025-04-26 10:00:00,1h,536.19777
BTCUSDT,2025-04-26 11:00:00,1h,270.11471
BTCUSDT,2025-04-26 12:00:00,1h,434.59897
BTCUSDT,2025-04-26 13:00:00,1h,347.1869
BTCUSDT,2025-04-26 14:00:00,1h,551.38869
BTCUSDT,2025-04-26 15:00:00,1h,340.90576
BTCUSDT,2025-04-26 16:00:00,1h,399.34843
BTCUSDT,2025-04-26 17:00:00,1h,267.47055
BTCUSDT,2025-04-26 18:00:00,1h,164.43394
BTCUSDT,2025-04-26 19:00:00,1h,229.99296
BTCUSDT,2025-04-26 20:00:00,1h,170.35998
BTCUSDT,2025-04-26 21:00:00,1h,180.72695
BTCUSDT,2025-04-26 22:00:00,1h,263.61098
BTCUSDT,2025-04-26 23:00:00,1h,481.03012
BTCUSDT,2025-04-27 00:00:00,1h,318.36561
BTCUSDT,2025-04-27 01:00:00,1h,728.73565
BTCUSDT,2025-04-27 02:00:00,1h,2400.13887
BTCUSDT,2025-04-27 03:00:00,1h,367.15753
BTCUSDT,2025-04-27 04:00:00,1h,429.84119
BTCUSDT,2025-04-27 05:00:00,1h,448.93525
BTCUSDT,2025-04-27 06:00:00,1h,744.11442
BTCUSDT,2025-04-27 07:00:00,1h,281.36839
BTCUSDT,2025-04-27 08:00:00,1h,384.30276
BTCUSDT,2025-04-27 09:00:00,1h,533.25085
BTCUSDT,2025-04-27 10:00:00,1h,229.44444
BTCUSDT,2025-04-27 11:00:00,1h,244.18725
BTCUSDT,2025-04-27 12:00:00,1h,336.14289
BTCUSDT,2025-04-27 13:00:00,1h,452.76244
BTCUSDT,2025-04-27 14:00:00,1h,453.7652
BTCUSDT,2025-04-27 15:00:00,1h,295.9622
BTCUSDT,2025-04-27 16:00:00,1h,230.15582
BTCUSDT,2025-04-27 17:00:00,1h,315.21521
BTCUSDT,2025-04-27 18:00:00,1h,383.55903
BTCUSDT,2025-04-27 19:00:00,1h,460.98794
BTCUSDT,2025-04-27 20:00:00,1h,194.86179
