Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-03 01:49:00,1m,3.45395
BTCUSDT,2025-05-03 01:50:00,1m,73.65907
BTCUSDT,2025-05-03 01:51:00,1m,9.90204
BTCUSDT,2025-05-03 01:52:00,1m,10.90514
BTCUSDT,2025-05-03 01:53:00,1m,3.97901
BTCUSDT,2025-05-03 01:54:00,1m,1.14014
BTCUSDT,2025-05-03 01:55:00,1m,0.77139
BTCUSDT,2025-05-03 01:56:00,1m,28.1515
BTCUSDT,2025-05-03 01:57:00,1m,7.20114
BTCUSDT,2025-05-03 01:58:00,1m,4.77043
BTCUSDT,2025-05-03 01:59:00,1m,5.20632
BTCUSDT,2025-05-03 02:00:00,1m,1.52808
BTCUSDT,2025-05-03 02:01:00,1m,3.94136
BTCUSDT,2025-05-03 02:02:00,1m,8.82407
BTCUSDT,2025-05-03 02:03:00,1m,3.81834
BTCUSDT,2025-05-03 02:04:00,1m,4.52334
BTCUSDT,2025-05-03 02:05:00,1m,0.69252
BTCUSDT,2025-05-03 02:06:00,1m,1.00857
BTCUSDT,2025-05-03 02:07:00,1m,15.47277
BTCUSDT,2025-05-03 02:08:00,1m,7.51566
BTCUSDT,2025-05-03 02:09:00,1m,3.72885
BTCUSDT,2025-05-03 02:10:00,1m,27.48085
BTCUSDT,2025-05-03 02:11:00,1m,10.1414
BTCUSDT,2025-05-03 02:12:00,1m,15.18855
BTCUSDT,2025-05-03 02:13:00,1m,6.59531
BTCUSDT,2025-05-03 02:14:00,1m,7.34638
BTCUSDT,2025-05-03 02:15:00,1m,97.04376
BTCUSDT,2025-05-03 02:16:00,1m,33.27828
BTCUSDT,2025-05-03 02:17:00,1m,2.23038
BTCUSDT,2025-05-03 02:18:00,1m,4.47559
BTCUSDT,2025-05-03 02:19:00,1m,6.70557
BTCUSDT,2025-05-03 02:20:00,1m,3.65663
BTCUSDT,2025-05-03 02:21:00,1m,1.04127
BTCUSDT,2025-05-03 02:22:00,1m,2.21533
BTCUSDT,2025-05-03 02:23:00,1m,5.67679
BTCUSDT,2025-05-03 02:24:00,1m,4.39187
BTCUSDT,2025-05-03 02:25:00,1m,12.4627
BTCUSDT,2025-05-03 02:26:00,1m,3.2265
BTCUSDT,2025-05-03 02:27:00,1m,11.14402
BTCUSDT,2025-05-03 02:28:00,1m,1.56728
BTCUSDT,2025-05-03 02:29:00,1m,3.29019
BTCUSDT,2025-05-03 02:30:00,1m,7.79846
BTCUSDT,2025-05-03 02:31:00,1m,35.12977
BTCUSDT,2025-05-03 02:32:00,1m,4.17763
BTCUSDT,2025-05-03 02:33:00,1m,10.28152
BTCUSDT,2025-05-03 02:34:00,1m,7.45669
BTCUSDT,2025-05-03 02:35:00,1m,2.0419
BTCUSDT,2025-05-03 02:36:00,1m,3.64485
BTCUSDT,2025-05-03 02:37:00,1m,2.30248
BTCUSDT,2025-05-03 02:38:00,1m,1.79062
BTCUSDT,2025-05-03 02:39:00,1m,1.98565
BTCUSDT,2025-05-03 02:40:00,1m,3.47631
BTCUSDT,2025-05-03 02:41:00,1m,14.73767
BTCUSDT,2025-05-03 02:42:00,1m,3.65196
BTCUSDT,2025-05-03 02:43:00,1m,1.52572
BTCUSDT,2025-05-03 02:44:00,1m,2.01397
BTCUSDT,2025-05-03 02:45:00,1m,0.92287
BTCUSDT,2025-05-03 02:46:00,1m,8.16146
BTCUSDT,2025-05-03 02:47:00,1m,1.73984
BTCUSDT,2025-05-03 02:48:00,1m,6.01989
BTCUSDT,2025-05-03 02:49:00,1m,2.90894
BTCUSDT,2025-05-03 02:50:00,1m,2.58325
BTCUSDT,2025-05-03 02:51:00,1m,6.83378
BTCUSDT,2025-05-03 02:52:00,1m,3.71577
BTCUSDT,2025-05-03 02:53:00,1m,2.94566
BTCUSDT,2025-05-03 02:54:00,1m,3.008
BTCUSDT,2025-05-03 02:55:00,1m,5.13287
BTCUSDT,2025-05-03 02:56:00,1m,1.82859
BTCUSDT,2025-05-03 02:57:00,1m,1.80378
BTCUSDT,2025-05-03 02:58:00,1m,0.66913
BTCUSDT,2025-05-03 02:59:00,1m,1.90097
BTCUSDT,2025-05-03 03:00:00,1m,25.17167
BTCUSDT,2025-05-03 03:01:00,1m,5.36614
BTCUSDT,2025-05-03 03:02:00,1m,5.81786
BTCUSDT,2025-05-03 03:03:00,1m,4.03799
BTCUSDT,2025-05-03 03:04:00,1m,2.79218
BTCUSDT,2025-05-03 03:05:00,1m,0.98445
BTCUSDT,2025-05-03 03:06:00,1m,3.01367
BTCUSDT,2025-05-03 03:07:00,1m,5.81886
BTCUSDT,2025-05-03 03:08:00,1m,1.05255
BTCUSDT,2025-05-03 03:09:00,1m,2.16982
BTCUSDT,2025-05-03 03:10:00,1m,0.75473
BTCUSDT,2025-05-03 03:11:00,1m,4.93477
